DOGTOOTH,Tyler and The Creator,2023,71
NULL,Tiï¿½ï¿½sto and Tate M,2022,70
SORRY NOT SORRY,Tyler and The Creator,2023,48
HAPPY,NF,2023,73
La Bebe,Yng Lvcas,2021,78
I Know  PRSVX Edit,Kanii and PR1ISVX,2023,67
Late Night Talking,Harry Styles,2022,71
Le,Marï¿½ï¿½lia Mendo,2022,74
Something in the Orange,Zach Bryan,2022,59
VOID,Melanie Martinez,2023,72
Dijeron Que No La Iba Lograr,Fuerza Regida and Chino Pacas,2023,70
If We Ever Broke Up,Mae Stephens,2023,90
You Proof,Morgan Wallen,2022,73
LA INOCENTE,Feid and Mora,2022,76
Malas Decisiones,Kenia OS,2022,81
Murder In My Mind,Kordhell,2022,71
CAIRO,Karol G and Ovy On The Drums,2022,95
I Love You So,The Walters,2014,58
Dark Red,Steve Lacy,2017,60
Say You Wont Let Go,James Arthur,2016,40
Heart To Heart,Mac DeMarco,2019,90
Peaches from The Super Mario Bros Movie,Jack Black,2023,71
Marisola  Remix,Duki and NICKI NICOLE and Cris Mj and Standly and,2022,77
LOKERA,Brray and Rauw Alejandro and Lyanno,2022,83
Numb,Linkin Park,2003,50
on the street with J Cole,j-hope and J. Cole,2023,68
One Thing At A Time,Morgan Wallen,2022,61
Miss You,Robin Schulz and Oliver Tree,2022,59
Aint Tha,Morgan Wallen,2023,64
Thinkin B,Morgan Wallen,2023,66
Private Landing feat Justin Bieber  Future,Don Toliver and Future and Justin Bieber,2023,84
Everything I Love,Morgan Wallen,2023,56
Heaven,Niall Horan,2023,57
LET GO,Central Cee,2022,74
Sial,Mahalini,2023,56
I Wrote The Book,Morgan Wallen,2023,68
Apna Bana Le From Bhediya,Arijit Singh and Sachin-Jigar,2022,59
SPIT IN MY FACE,ThxSoMch,2022,73
PLAYA DEL INGL,Myke Towers and Quevedo,2022,79
Man Made A Bar feat Eric Church,Morgan Wallen and Eric Church,2023,50
Red Ruby Da Sleeze,Nicki Minaj,2023,70
"Kahani Suno ",Kaifi Khalil,2022,58
Nobody Gets Me,SZA,2022,36
PERO T,Karol G and Quevedo,2023,86
Hype Boy,NewJeans,2022,59
Bloody Mary,Lady Gaga,2011,59
Braves,Morgan Wallen,2023,49
WANDA,Quevedo,2023,72
Thought You Should Know,Morgan Wallen,2022,53
In The End,Linkin Park,2000,55
Zona De Perigo,Leo Santana,2022,81
Lovezinho,Treyce,2022,82
I Like You A Happier Song with Doja Cat,Post Malone and Doja Cat,2022,74
Neverita,Bad Bunny,2022,88
"Sem Aliana no ",MC Xenon and Os Gemeos da Putaria,2022,53
"Enemy with JID  from the series Arcane League of ",Imagine Dragons and League of Legends and JID and,2021,72
Revenge,XXXTENTACION,2017,75
Bombonzinho  Ao Vivo,Israel & Rodolffo and Ana Castela,2022,65
LA CANCI,J Balvin and Bad Bunny,2019,75
Qu Ago,Yuridia and Angela Aguilar,2022,73
Love Again,The Kid Laroi,2023,66
After Hours,The Weeknd,2020,66
About Damn Time,Lizzo,2022,84
NULL,Fujii Kaze,2020,60
Besos Moja,Wisin & Yandel and ROSALï¿½,2022,74
Maan Meri Jaan,King,2022,70
Moscow Mule,Bad Bunny,2022,80
My Universe,Coldplay and BTS,2021,58
